=====================Batch 1=============================
download:0.766 sec., process:25.342 sec., upload:0.133 sec. 
download:0.299 sec., process:24.939 sec., upload:0.112 sec. 
download:0.515 sec., process:23.003 sec., upload:0.075 sec. 
download:0.436 sec., process:23.458 sec., upload:0.083 sec. 
download:0.591 sec., process:23.62 sec., upload:0.077 sec. 
download:0.329 sec., process:24.059 sec., upload:0.105 sec. 
download:1.041 sec., process:22.764 sec., upload:0.117 sec. 
download:0.612 sec., process:23.42 sec., upload:0.112 sec. 
download:0.661 sec., process:23.412 sec., upload:0.121 sec. 
download:0.584 sec., process:22.17 sec., upload:0.093 sec. 
download:0.765 sec., process:23.595 sec., upload:0.127 sec. 
download:0.707 sec., process:22.977 sec., upload:0.079 sec. 
download:0.678 sec., process:23.166 sec., upload:0.075 sec. 
download:0.562 sec., process:22.88 sec., upload:0.088 sec. 
download:0.23 sec., process:26.011 sec., upload:0.074 sec. 
download:0.585 sec., process:23.903 sec., upload:0.114 sec. 
download:0.541 sec., process:22.849 sec., upload:0.116 sec. 
download:0.326 sec., process:22.547 sec., upload:0.071 sec. 
download:0.206 sec., process:21.967 sec., upload:0.074 sec. 
download:0.982 sec., process:23.946 sec., upload:0.09 sec. 
download:0.917 sec., process:23.906 sec., upload:0.079 sec. 
download:0.219 sec., process:23.179 sec., upload:0.069 sec. 
download:0.227 sec., process:22.296 sec., upload:0.072 sec. 
download:0.223 sec., process:21.822 sec., upload:0.071 sec. 
download:0.21 sec., process:22.874 sec., upload:0.085 sec. 
download:0.303 sec., process:21.548 sec., upload:0.094 sec. 
download:0.327 sec., process:21.786 sec., upload:0.087 sec.

=====================Batch 2=============================
download:3.222 sec., process:2.044 sec., upload:2.64 sec. 
download:4.196 sec., process:1.116 sec., upload:0.035 sec. 
download:4.191 sec., process:10.069 sec., upload:0.072 sec. 
download:5.013 sec., process:12.478 sec., upload:0.057 sec. 
download:1.732 sec., process:22.006 sec., upload:0.077 sec. 
download:4.21 sec., process:18.852 sec., upload:0.07 sec. 
download:3.59 sec., process:20.257 sec., upload:0.078 sec. 
download:3.456 sec., process:20.86 sec., upload:0.092 sec. 
download:0.964 sec., process:24.811 sec., upload:0.061 sec. 
download:4.883 sec., process:19.859 sec., upload:0.116 sec. 
download:5.849 sec., process:19.878 sec., upload:0.101 sec. 
download:6.037 sec., process:20.015 sec., upload:0.222 sec. 
download:4.695 sec., process:23.863 sec., upload:0.16 sec. 
download:1.763 sec., process:28.053 sec., upload:0.083 sec. 
download:3.766 sec., process:24.105 sec., upload:0.105 sec. 
download:4.502 sec., process:24.703 sec., upload:0.2 sec. 
download:4.892 sec., process:24.204 sec., upload:0.207 sec. 
download:1.297 sec., process:28.136 sec., upload:0.222 sec. 
download:4.719 sec., process:24.324 sec., upload:0.249 sec. 
download:4.497 sec., process:24.364 sec., upload:0.214 sec. 
download:3.548 sec., process:25.829 sec., upload:0.287 sec. 
download:0.943 sec., process:29.564 sec., upload:0.346 sec. 
download:1.027 sec., process:29.66 sec., upload:0.251 sec. 
download:1.14 sec., process:29.588 sec., upload:0.33 sec. 
download:0.665 sec., process:30.3 sec., upload:0.345 sec. 
download:0.484 sec., process:30.384 sec., upload:0.27 sec. 
download:1.686 sec., process:28.743 sec., upload:0.431 sec. 
download:4.493 sec., process:24.795 sec., upload:0.344 sec. 
download:1.817 sec., process:28.669 sec., upload:0.515 sec. 
download:3.73 sec., process:25.155 sec., upload:0.438 sec. 
download:4.434 sec., process:24.771 sec., upload:0.817 sec. 
download:3.484 sec., process:26.33 sec., upload:0.798 sec. 
download:2.173 sec., process:28.279 sec., upload:0.833 sec. 
download:4.191 sec., process:24.839 sec., upload:0.749 sec. 
download:4.616 sec., process:24.695 sec., upload:0.888 sec. 
download:1.253 sec., process:28.884 sec., upload:0.74 sec. 
download:4.428 sec., process:25.44 sec., upload:0.498 sec. 
download:0.346 sec., process:31.309 sec., upload:0.563 sec. 
download:0.798 sec., process:31.106 sec., upload:0.839 sec. 
download:1.245 sec., process:30.273 sec., upload:0.937 sec. 
download:4.374 sec., process:25.217 sec., upload:0.9 sec. 
download:4.875 sec., process:25.841 sec., upload:0.291 sec. 
download:4.136 sec., process:26.773 sec., upload:0.366 sec. 
download:0.119 sec., process:0.046 sec., upload:0.073 sec. 
download:4.0 sec., process:27.278 sec., upload:0.097 sec. 
download:4.658 sec., process:24.844 sec., upload:0.187 sec. 
download:4.37 sec., process:25.101 sec., upload:0.426 sec. 
download:5.6 sec., process:25.244 sec., upload:0.285 sec. 
download:5.605 sec., process:25.035 sec., upload:0.502 sec. 
download:6.121 sec., process:25.529 sec., upload:0.102 sec. 
download:4.465 sec., process:25.619 sec., upload:0.287 sec. 
download:5.785 sec., process:25.569 sec., upload:0.338 sec. 
